"date","subj_id","response","Adj","Name","Unit","Pred","Repetition","NormUnit"
1438010523,"subj02",3,"Tall","Jeff","82","short",1,36
1438010523,"subj02",2,"Tall","Ronald","73","notTall",1,9
1438010523,"subj02",55,"Tall","Ryan","70","neither",1,0
1438010523,"subj02",80,"Tall","Daniel","73","notShort",1,9
1438010523,"subj02",0,"Tall","Ethan","66","neither",1,-12
1438010523,"subj02",3,"Tall","George","73","neither",1,9
1438010523,"subj02",96,"Tall","Robert","82","notShort",1,36
1438010523,"subj02",0,"Tall","Edward","77","neither",1,21
1438010523,"subj02",97,"Tall","Paul","63","short",1,-21
1438010523,"subj02",2,"Tall","Matthew","74","short",1,12
1438010523,"subj02",99,"Tall","Ryan","82","tall",1,36
1438010523,"subj02",25,"Tall","John","66","tall",1,-12
1438010523,"subj02",7,"Tall","Arthur","66","notShort",1,-12
1438010523,"subj02",3,"Tall","James","63","tall",1,-21
1438010523,"subj02",10,"Tall","Anthony","71","notVeryTall",1,3
1438010523,"subj02",3,"Tall","Michael","82","short",2,36
1438010523,"subj02",5,"Tall","Thomas","77","notTall",1,21
1438010523,"subj02",71,"Tall","Thomas","71","notShort",1,3
1438010523,"subj02",82,"Tall","Daniel","74","veryTall",1,12
1438010523,"subj02",91,"Tall","Stanley","77","veryTall",1,21
1438010523,"subj02",68,"Tall","Brian","69","notVeryTall",1,-3
1438010523,"subj02",17,"Tall","James","75","short",1,15
1438010523,"subj02",37,"Tall","Robert","69","notTall",1,-3
1438010523,"subj02",19,"Tall","Benjamin","71","short",1,3
1438010523,"subj02",24,"Tall","David","68","veryTall",1,-6
1438010523,"subj02",31,"Tall","John","72","notVeryTall",1,6
1438010523,"subj02",7,"Tall","Edward","72","short",1,6
1438010523,"subj02",83,"Tall","Arthur","75","veryTall",1,15
1438010523,"subj02",18,"Tall","Robert","74","neither",2,12
1438010523,"subj02",98,"Tall","Jacob","79","veryTall",1,27
1438010523,"subj02",97,"Tall","Paul","75","veryTall",2,15
1438010523,"subj02",50,"Tall","Tim","74","veryTall",2,12
1438010523,"subj02",10,"Tall","Michael","75","neither",1,15
1438010523,"subj02",23,"Tall","Ronald","82","neither",1,36
1438010523,"subj02",18,"Tall","Charles","74","notTall",1,12
1438010523,"subj02",22,"Tall","Kevin","71","veryTall",1,3
1438010523,"subj02",32,"Tall","George","69","short",1,-3
1438010523,"subj02",18,"Tall","William","63","notShort",1,-21
1438010523,"subj02",34,"Tall","David","72","notTall",1,6
1438010523,"subj02",27,"Tall","Kenneth","82","notShort",2,36
1438010523,"subj02",96,"Tall","John","79","notShort",1,27
1438010523,"subj02",29,"Tall","David","77","notVeryTall",1,21
1438010523,"subj02",24,"Tall","Ryan","74","notShort",1,12
1438010523,"subj02",26,"Tall","Richard","79","notVeryTall",1,27
1438010523,"subj02",36,"Tall","William","71","notTall",1,3
1438010523,"subj02",78,"Tall","Ryan","69","notVeryTall",2,-3
1438010523,"subj02",72,"Tall","Stanley","72","tall",1,6
1438010523,"subj02",32,"Tall","Matthew","70","notVeryTall",1,0
1438010523,"subj02",6,"Tall","Jacob","82","notVeryTall",1,36
1438010523,"subj02",95,"Tall","Christopher","77","tall",1,21
1438010523,"subj02",22,"Tall","Kevin","72","notVeryTall",2,6
1438010523,"subj02",3,"Tall","Robert","79","short",1,27
1438010523,"subj02",86,"Tall","Matthew","63","notTall",1,-21
1438010523,"subj02",93,"Tall","Donald","77","notShort",1,21
1438010523,"subj02",57,"Tall","Jacob","69","neither",1,-3
1438010523,"subj02",87,"Tall","Paul","74","notShort",2,12
1438010523,"subj02",78,"Tall","Ethan","71","notShort",2,3
1438010523,"subj02",9,"Tall","Anthony","74","notTall",2,12
1438010523,"subj02",18,"Tall","Daniel","82","notTall",1,36
1438010523,"subj02",80,"Tall","Charles","73","tall",1,9
1438010523,"subj02",92,"Tall","Benjamin","77","tall",2,21
1438010523,"subj02",97,"Tall","Alex","82","veryTall",1,36
1438010523,"subj02",7,"Tall","Ronald","74","short",2,12
1438010523,"subj02",46,"Tall","Kenneth","69","notTall",2,-3
1438010523,"subj02",18,"Tall","William","77","neither",2,21
1438010523,"subj02",6,"Tall","Tim","82","notTall",2,36
1438010523,"subj02",15,"Tall","Joseph","75","notTall",1,15
1438010523,"subj02",78,"Tall","Stanley","66","short",1,-12
1438010523,"subj02",11,"Tall","Tim","63","notShort",2,-21
1438010523,"subj02",70,"Tall","Jeff","73","veryTall",1,9
1438010523,"subj02",12,"Tall","Jason","68","tall",1,-6
1438010523,"subj02",84,"Tall","Mark","63","notTall",2,-21
1438010523,"subj02",74,"Tall","Alex","70","notShort",1,0
1438010523,"subj02",87,"Tall","George","68","notTall",1,-6
1438010523,"subj02",85,"Tall","Steven","66","notVeryTall",1,-12
1438010523,"subj02",41,"Tall","Mark","71","neither",1,3
1438010523,"subj02",36,"Tall","Richard","73","notTall",2,9
1438010523,"subj02",34,"Tall","James","71","notVeryTall",2,3
1438010523,"subj02",82,"Tall","Benjamin","72","notShort",1,6
1438010523,"subj02",96,"Tall","John","77","short",2,21
1438010523,"subj02",8,"Tall","Tim","75","notVeryTall",1,15
1438010523,"subj02",14,"Tall","Michael","74","notVeryTall",1,12
1438010523,"subj02",79,"Tall","John","68","notTall",2,-6
1438010523,"subj02",33,"Tall","Edward","71","notTall",2,3
1438010523,"subj02",94,"Tall","Ethan","75","tall",1,15
1438010523,"subj02",8,"Tall","Ronald","69","veryTall",1,-3
1438010523,"subj02",98,"Tall","Jacob","79","tall",1,27
1438010523,"subj02",91,"Tall","Donald","66","notTall",1,-12
1438010523,"subj02",68,"Tall","Donald","68","short",2,-6
1438010523,"subj02",26,"Tall","Brian","72","notTall",2,6
1438010523,"subj02",5,"Tall","Michael","63","veryTall",2,-21
1438010523,"subj02",6,"Tall","Jeff","79","notTall",1,27
1438010523,"subj02",19,"Tall","Richard","69","veryTall",2,-3
1438010523,"subj02",12,"Tall","Mark","75","notShort",1,15
1438010523,"subj02",71,"Tall","Ronald","70","notVeryTall",2,0
1438010523,"subj02",9,"Tall","Jacob","72","short",2,6
1438010523,"subj02",86,"Tall","Mark","77","veryTall",2,21
1438010523,"subj02",24,"Tall","Richard","68","notShort",1,-6
1438010523,"subj02",50,"Tall","Michael","70","notTall",1,0
1438010523,"subj02",50,"Tall","Jacob","68","notVeryTall",1,-6
1438010523,"subj02",50,"Tall","Jeff","69","tall",1,-3
1438010523,"subj02",23,"Tall","David","66","notShort",2,-12
1438010523,"subj02",36,"Tall","Thomas","72","veryTall",1,6
1438010523,"subj02",21,"Tall","Brian","68","veryTall",2,-6
1438010523,"subj02",75,"Tall","Edward","68","notVeryTall",2,-6
1438010523,"subj02",90,"Tall","Joseph","74","tall",1,12
1438010523,"subj02",100,"Tall","George","82","veryTall",2,36
1438010523,"subj02",59,"Tall","David","71","tall",1,3
1438010523,"subj02",10,"Tall","Kevin","66","tall",2,-12
1438010523,"subj02",46,"Tall","Steven","70","notTall",2,0
1438010523,"subj02",5,"Tall","Jason","79","short",2,27
1438010523,"subj02",8,"Tall","William","75","notVeryTall",2,15
1438010523,"subj02",29,"Tall","Steven","71","short",2,3
1438010523,"subj02",93,"Tall","Thomas","75","tall",2,15
1438010523,"subj02",92,"Tall","Kenneth","63","notVeryTall",1,-21
1438010523,"subj02",9,"Tall","Brian","79","neither",2,27
1438010523,"subj02",12,"Tall","Anthony","63","tall",2,-21
1438010523,"subj02",71,"Tall","Joseph","70","notShort",2,0
1438010523,"subj02",79,"Tall","Matthew","75","notShort",2,15
1438010523,"subj02",75,"Tall","George","79","notShort",2,27
1438010523,"subj02",97,"Tall","Donald","79","veryTall",2,27
1438010523,"subj02",56,"Tall","Daniel","69","neither",2,-3
1438010523,"subj02",12,"Tall","Christopher","79","notTall",2,27
1438010523,"subj02",40,"Tall","Kevin","75","notTall",2,15
1438010523,"subj02",20,"Tall","Jason","73","notVeryTall",1,9
1438010523,"subj02",98,"Tall","Paul","82","tall",2,36
1438010523,"subj02",9,"Tall","Alex","63","neither",1,-21
1438010523,"subj02",19,"Tall","Ryan","73","short",1,9
1438010523,"subj02",38,"Tall","Charles","70","veryTall",1,0
1438010523,"subj02",37,"Tall","Donald","72","neither",1,6
1438010523,"subj02",15,"Tall","Richard","82","neither",2,36
1438010523,"subj02",37,"Tall","Alex","69","short",2,-3
1438010523,"subj02",33,"Tall","Benjamin","68","neither",1,-6
1438010523,"subj02",39,"Tall","Michael","69","tall",2,-3
1438010523,"subj02",36,"Tall","Kenneth","70","short",1,0
1438010523,"subj02",92,"Tall","Daniel","79","tall",2,27
1438010523,"subj02",68,"Tall","Jacob","73","notShort",2,9
1438010523,"subj02",58,"Tall","William","70","tall",1,0
1438010523,"subj02",39,"Tall","Joseph","71","veryTall",2,3
1438010523,"subj02",41,"Tall","Robert","73","notVeryTall",2,9
1438010523,"subj02",67,"Tall","Arthur","77","notVeryTall",2,21
1438010523,"subj02",40,"Tall","Paul","70","neither",2,0
1438010523,"subj02",63,"Tall","Tim","70","tall",2,0
1438010523,"subj02",36,"Tall","Anthony","70","veryTall",2,0
1438010523,"subj02",75,"Tall","Alex","74","tall",2,12
1438010523,"subj02",14,"Tall","Arthur","63","short",2,-21
1438010523,"subj02",60,"Tall","Matthew","71","neither",2,3
1438010523,"subj02",42,"Tall","Steven","75","neither",2,15
1438010523,"subj02",72,"Tall","Christopher","73","veryTall",2,9
1438010523,"subj02",15,"Tall","Edward","66","veryTall",1,-12
1438010523,"subj02",53,"Tall","James","72","neither",2,6
1438010523,"subj02",80,"Tall","Benjamin","66","notVeryTall",2,-12
1438010523,"subj02",0,"Tall","Anthony","75","short",2,15
1438010523,"subj02",0,"Tall","Thomas","66","neither",2,-12
1438010523,"subj02",95,"Tall","Mark","66","short",2,-12
1438010523,"subj02",64,"Tall","Jason","72","veryTall",2,6
1438010523,"subj02",58,"Tall","Arthur","71","tall",2,3
1438010523,"subj02",60,"Tall","Richard","72","tall",2,6
1438010523,"subj02",22,"Tall","Brian","73","short",2,9
1438010523,"subj02",15,"Tall","Jason","77","notTall",2,21
1438010523,"subj02",85,"Tall","James","66","notTall",2,-12
1438010523,"subj02",50,"Tall","Christopher","68","neither",2,-6
1438010523,"subj02",15,"Tall","William","66","veryTall",2,-12
1438010523,"subj02",33,"Tall","Ethan","70","short",2,0
1438010523,"subj02",34,"Tall","Jacob","69","notShort",1,-3
1438010523,"subj02",62,"Tall","Christopher","72","notShort",2,6
1438010523,"subj02",44,"Tall","Jeff","74","notVeryTall",2,12
1438010523,"subj02",30,"Tall","Robert","68","tall",2,-6
1438010523,"subj02",69,"Tall","Jacob","73","tall",2,9
1438010523,"subj02",24,"Tall","Joseph","63","neither",2,-21
