"date","subj_id","response","Adj","Name","Unit","Pred","Comparative","Pred2","NormUnit"
1504268138,"subj002",12,"Tall","Ethan","63","notTaller",TRUE,"NotAdj",-7
1504268138,"subj002",3,"Tall","Robert","68","tall",FALSE,"Adj",-2
1504268138,"subj002",64,"Tall","Tim","74","taller",TRUE,"Adj",4
1504268138,"subj002",79,"Tall","Robert","79","veryTall",FALSE,"VeryAdj",9
1504268138,"subj002",7,"Tall","Kevin","75","notTall",FALSE,"NotAdj",5
1504268138,"subj002",77,"Tall","Michael","82","veryTall",FALSE,"VeryAdj",12
1504268138,"subj002",5,"Tall","Robert","73","notTaller",TRUE,"NotAdj",3
1504268138,"subj002",87,"Tall","Stanley","77","taller",TRUE,"Adj",7
1504268138,"subj002",29,"Tall","Jacob","72","veryTall",FALSE,"VeryAdj",2
1504268138,"subj002",5,"Tall","Edward","66","taller",TRUE,"Adj",-4
1504268138,"subj002",2,"Tall","Jacob","79","notMuchTaller",TRUE,"NotVeryAdj",9
1504268138,"subj002",13,"Tall","Ryan","69","notTaller",TRUE,"NotAdj",-1
1504268138,"subj002",84,"Tall","Alex","82","taller",TRUE,"Adj",12
1504268138,"subj002",2,"Tall","William","70","tall",FALSE,"Adj",0
1504268138,"subj002",93,"Tall","William","63","notVeryTall",FALSE,"NotVeryAdj",-7
1504268138,"subj002",30,"Tall","Ethan","70","veryTall",FALSE,"VeryAdj",0
1504268138,"subj002",2,"Tall","Ryan","82","notMuchTaller",TRUE,"NotVeryAdj",12
1504268138,"subj002",91,"Tall","John","77","veryTall",FALSE,"VeryAdj",7
1504268138,"subj002",22,"Tall","Daniel","73","notVeryTall",FALSE,"NotVeryAdj",3
1504268138,"subj002",13,"Tall","Ethan","75","notMuchTaller",TRUE,"NotVeryAdj",5
1504268138,"subj002",8,"Tall","Charles","82","notTaller",TRUE,"NotAdj",12
1504268138,"subj002",4,"Tall","Donald","77","notVeryTall",FALSE,"NotVeryAdj",7
1504268138,"subj002",7,"Tall","Brian","68","taller",TRUE,"Adj",-2
1504268138,"subj002",2,"Tall","Tim","82","notTall",FALSE,"NotAdj",12
1504268138,"subj002",6,"Tall","Arthur","75","taller",TRUE,"Adj",5
1504268138,"subj002",97,"Tall","Jacob","79","taller",TRUE,"Adj",9
1504268138,"subj002",16,"Tall","Ryan","73","veryTall",FALSE,"VeryAdj",3
1504268138,"subj002",8,"Tall","Richard","72","tall",FALSE,"Adj",2
1504268138,"subj002",72,"Tall","Jeff","69","notMuchTaller",TRUE,"NotVeryAdj",-1
1504268138,"subj002",79,"Tall","Christopher","77","tall",FALSE,"Adj",7
1504268138,"subj002",66,"Tall","Matthew","74","veryTall",FALSE,"VeryAdj",4
1504268138,"subj002",4,"Tall","Stanley","66","veryTall",FALSE,"VeryAdj",-4
1504268138,"subj002",36,"Tall","Christopher","72","notVeryTall",FALSE,"NotVeryAdj",2
1504268138,"subj002",7,"Tall","Steven","63","taller",TRUE,"Adj",-7
1504268138,"subj002",3,"Tall","Ronald","69","taller",TRUE,"Adj",-1
1504268138,"subj002",14,"Tall","Kenneth","69","notTall",FALSE,"NotAdj",-1
1504268138,"subj002",5,"Tall","David","77","notTaller",TRUE,"NotAdj",7
1504268138,"subj002",41,"Tall","Thomas","71","notVeryTall",FALSE,"NotVeryAdj",1
1504268138,"subj002",93,"Tall","George","73","muchTaller",TRUE,"VeryAdj",3
1504268138,"subj002",6,"Tall","Anthony","70","taller",TRUE,"Adj",0
1504268138,"subj002",7,"Tall","James","63","tall",FALSE,"Adj",-7
1504268138,"subj002",69,"Tall","James","75","veryTall",FALSE,"VeryAdj",5
1504268138,"subj002",91,"Tall","Brian","79","muchTaller",TRUE,"VeryAdj",9
1504268138,"subj002",6,"Tall","Daniel","69","muchTaller",TRUE,"VeryAdj",-1
1504268138,"subj002",91,"Tall","Ronald","82","muchTaller",TRUE,"VeryAdj",12
